Year,School,Sport,Gender,Scores,Rank
2005,Ripon College,Football,Men,5,6
2005,Ripon College,Soccer,Men,5,6
2005,Ripon College,Cross Country,Men,6.5,4
2005,Ripon College,Basketball,Men,9,2
2005,Ripon College,Swimming,Men,3,8
2005,Ripon College,Indoor Track & Field,Men,6,5
2005,Ripon College,Tennis,Men,9,2
2005,Ripon College,Baseball,Men,10,1
2005,Ripon College,Outdoor Track & Field,Men,6,5
2005,Ripon College,Total,Men,61.5,5
2005,St. Norbert College,Football,Men,10,1
2005,St. Norbert College,Soccer,Men,10,1
2005,St. Norbert College,Cross Country,Men,8,3
2005,St. Norbert College,Basketball,Men,2.5,7
2005,St. Norbert College,Indoor Track & Field,Men,9,2
2005,St. Norbert College,Tennis,Men,8,3
2005,St. Norbert College,Baseball,Men,9,2
2005,St. Norbert College,Outdoor Track & Field,Men,9,2
2005,St. Norbert College,Total,Men,71.5,2
2005,Beloit College,Volleyball,Women,6,5
2005,Beloit College,Soccer,Women,3,8
2005,Beloit College,Cross Country,Women,7,4
2005,Beloit College,Tennis,Women,8,3
2005,Beloit College,Basketball,Women,4,7
2005,Beloit College,Swimming,Women,5,6
2005,Beloit College,Indoor Track & Field,Women,4,7
2005,Beloit College,Outdoor Track & Field,Women,6,5
2005,Beloit College,Total,Women,55,6
2005,Carroll University,Volleyball,Women,1.5,9
2005,Carroll University,Soccer,Women,9,2
2005,Carroll University,Cross Country,Women,5,6
2005,Carroll University,Tennis,Women,7,4
2005,Carroll University,Basketball,Women,5,6
2005,Carroll University,Swimming,Women,8,3
2005,Carroll University,Indoor Track & Field,Women,9,2
2005,Carroll University,Outdoor Track & Field,Women,9,2
2005,Carroll University,Total,Women,61.5,4
2005,Grinnell College,Volleyball,Women,3.5,7
2005,Grinnell College,Soccer,Women,8,3
2005,Grinnell College,Cross Country,Women,10,1
2005,Grinnell College,Tennis,Women,10,1
2005,Grinnell College,Basketball,Women,2,9
2005,Grinnell College,Swimming,Women,10,1
2005,Grinnell College,Indoor Track & Field,Women,6,5
2005,Grinnell College,Outdoor Track & Field,Women,7,4
2005,Grinnell College,Total,Women,69,1
2005,Illinois College,Volleyball,Women,5,6
2005,Illinois College,Soccer,Women,4,7
2005,Illinois College,Cross Country,Women,1,10
2005,Illinois College,Tennis,Women,1,10
2005,Illinois College,Basketball,Women,6,5
2005,Illinois College,Indoor Track & Field,Women,5,6
2005,Illinois College,Outdoor Track & Field,Women,4,7
2005,Illinois College,Total,Women,44,9
2005,Knox College,Volleyball,Women,1.5,9
2005,Knox College,Soccer,Women,1,10
2005,Knox College,Cross Country,Women,2,9
2005,Knox College,Tennis,Women,4,7
2005,Knox College,Basketball,Women,1,10
2005,Knox College,Swimming,Women,2,9
2005,Knox College,Indoor Track & Field,Women,3,8
2005,Knox College,Outdoor Track & Field,Women,3,8
2005,Knox College,Total,Women,28,10
2005,Lake Forest College,Volleyball,Women,9,2
2005,Lake Forest College,Soccer,Women,10,1
2005,Lake Forest College,Cross Country,Women,4,7
2005,Lake Forest College,Tennis,Women,9,2
2005,Lake Forest College,Basketball,Women,7.5,3
2005,Lake Forest College,Swimming,Women,9,2
2005,Lake Forest College,Total,Women,58.5,5
2005,Lawrence University,Volleyball,Women,3.5,7
2005,Lawrence University,Soccer,Women,6,5
2005,Lawrence University,Cross Country,Women,9,2
2005,Lawrence University,Tennis,Women,2,9
2005,Lawrence University,Basketball,Women,7.5,3
2005,Lawrence University,Swimming,Women,7,4
2005,Lawrence University,Indoor Track & Field,Women,2,9
2005,Lawrence University,Outdoor Track & Field,Women,2,9
2005,Lawrence University,Total,Women,46,8
2005,Monmouth College,Volleyball,Women,8,3
2005,Monmouth College,Soccer,Women,5,6
2005,Monmouth College,Cross Country,Women,3,8
2005,Monmouth College,Tennis,Women,3,8
2005,Monmouth College,Basketball,Women,3,8
2005,Monmouth College,Swimming,Women,3,8
2005,Monmouth College,Indoor Track & Field,Women,10,1
2005,Monmouth College,Outdoor Track & Field,Women,10,1
2005,Monmouth College,Total,Women,53,7
2005,Ripon College,Volleyball,Women,7,4
2005,Ripon College,Soccer,Women,2,9
2005,Ripon College,Cross Country,Women,8,3
2005,Ripon College,Tennis,Women,5,6
2005,Ripon College,Basketball,Women,10,1
2005,Ripon College,Swimming,Women,4,7
2005,Ripon College,Indoor Track & Field,Women,8,3
2005,Ripon College,Outdoor Track & Field,Women,8,3
2005,Ripon College,Total,Women,63.5,3
2005,St. Norbert College,Volleyball,Women,10,1
2005,St. Norbert College,Soccer,Women,7,4
2005,St. Norbert College,Cross Country,Women,6,5
2005,St. Norbert College,Tennis,Women,6,5
2005,St. Norbert College,Basketball,Women,9,2
2005,St. Norbert College,Swimming,Women,6,5
2005,St. Norbert College,Indoor Track & Field,Women,7,4
2005,St. Norbert College,Outdoor Track & Field,Women,5,6
2005,St. Norbert College,Total,Women,65.5,2
2006,Beloit College,Football,Men,1,10
2006,Beloit College,Soccer,Men,10,1
2006,Beloit College,Cross Country,Men,7,4
2006,Beloit College,Basketball,Men,3,8
2006,Beloit College,Swimming,Men,5,6
2006,Beloit College,Indoor Track & Field,Men,4,7
2006,Beloit College,Tennis,Men,2,9
2006,Beloit College,Outdoor Track & Field,Men,4,7
2006,Beloit College,Baseball,Men,5.5,5
2006,Beloit College,Total,Men,43.5,8
2006,Carroll University,Football,Men,4.5,6
2006,Carroll University,Soccer,Men,6.5,4
2006,Carroll University,Cross Country,Men,0,10
2006,Carroll University,Basketball,Men,9,2
2006,Carroll University,Swimming,Men,6,5
2006,Carroll University,Indoor Track & Field,Men,7,4
2006,Carroll University,Tennis,Men,3,8
2006,Carroll University,Outdoor Track & Field,Men,6,5
2006,Carroll University,Baseball,Men,2,9
2006,Carroll University,Total,Men,52,5
2006,Grinnell College,Football,Men,3,8
2006,Grinnell College,Soccer,Men,8,3
2006,Grinnell College,Cross Country,Men,9.5,1
2006,Grinnell College,Basketball,Men,10,1
2006,Grinnell College,Swimming,Men,10,1
2006,Grinnell College,Indoor Track & Field,Men,6,5
2006,Grinnell College,Tennis,Men,10,1
2006,Grinnell College,Outdoor Track & Field,Men,7,4
2006,Grinnell College,Baseball,Men,3.5,7
2006,Grinnell College,Total,Men,74,2
2006,Illinois College,Football,Men,7,4
2006,Illinois College,Soccer,Men,4,7
2006,Illinois College,Cross Country,Men,4,7
2006,Illinois College,Basketball,Men,1.5,9
2006,Illinois College,Indoor Track & Field,Men,9,2
2006,Illinois College,Tennis,Men,1,10
2006,Illinois College,Outdoor Track & Field,Men,9,2
2006,Illinois College,Baseball,Men,7,4
2006,Illinois College,Total,Men,45.5,7
2006,Knox College,Football,Men,2,9
2006,Knox College,Soccer,Men,1,10
2006,Knox College,Cross Country,Men,2,9
2006,Knox College,Basketball,Men,1.5,9
2006,Knox College,Swimming,Men,3,8
2006,Knox College,Indoor Track & Field,Men,2,9
2006,Knox College,Tennis,Men,5,6
2006,Knox College,Outdoor Track & Field,Men,2,9
2006,Knox College,Baseball,Men,5.5,5
2006,Knox College,Total,Men,33,10
2006,Lake Forest College,Football,Men,6,5
2006,Lake Forest College,Soccer,Men,5,6
2006,Lake Forest College,Cross Country,Men,3,8
2006,Lake Forest College,Basketball,Men,7,4
2006,Lake Forest College,Swimming,Men,8,3
2006,Lake Forest College,Tennis,Men,6,5
2006,Lake Forest College,Total,Men,35,9
2006,Lawrence University,Football,Men,4.5,6
2006,Lawrence University,Soccer,Men,6.5,4
2006,Lawrence University,Cross Country,Men,5,6
2006,Lawrence University,Basketball,Men,6,5
2006,Lawrence University,Swimming,Men,7,4
