Year,Gender,Sport,School,Expense
2018,Men,Soccer,Monmouth IL,49541.0
2018,Men,Tennis,Monmouth IL,33963.0
2018,Men,Track and Fields,Monmouth IL,105336.0
2018,Women,Basketball,Monmouth IL,77414.0
2018,Women,Cross Country,Monmouth IL,21462.0
2018,Women,Golf,Monmouth IL,44164.0
2018,Women,Soccer,Monmouth IL,52058.0
2018,Women,Softball,Monmouth IL,58463.0
2018,Women,Tennis,Monmouth IL,22070.0
2018,Women,Track and Fields,Monmouth IL,97065.0
2018,Women,Volleyball,Monmouth IL,56958.0
2019,Men,Baseball,Monmouth IL,61435.0
2019,Men,Basketball,Monmouth IL,91463.0
2019,Men,Cross Country,Monmouth IL,21229.0
2019,Men,Football,Monmouth IL,313629.0
2019,Men,Golf,Monmouth IL,28810.0
2019,Men,Soccer,Monmouth IL,56401.0
2019,Men,Tennis,Monmouth IL,23191.0
2019,Men,Track and Fields,Monmouth IL,48283.0
2019,Women,Basketball,Monmouth IL,74255.0
2019,Women,Cross Country,Monmouth IL,22157.0
2019,Women,Golf,Monmouth IL,19898.0
2019,Women,Soccer,Monmouth IL,60115.0
2019,Women,Softball,Monmouth IL,40943.0
2019,Women,Tennis,Monmouth IL,25754.0
2019,Women,Track and Fields,Monmouth IL,56930.0
2019,Women,Volleyball,Monmouth IL,58064.0
2020,Men,Baseball,Monmouth IL,69286.0
2020,Men,Golf,Monmouth IL,14901.0
2020,Men,Tennis,Monmouth IL,21769.0
2020,Men,Track and Fields,Monmouth IL,51824.0
2020,Women,Golf,Monmouth IL,11970.0
2020,Women,Softball,Monmouth IL,53482.0
2020,Women,Tennis,Monmouth IL,19441.0
2020,Women,Track and Fields,Monmouth IL,50538.0
2021,Men,Baseball,Monmouth IL,108799.0
2021,Men,Basketball,Monmouth IL,92999.0
2021,Men,Cross Country,Monmouth IL,26364.0
2021,Men,Football,Monmouth IL,336660.0
2021,Men,Golf,Monmouth IL,27692.0
2021,Men,Soccer,Monmouth IL,50828.0
2021,Men,Tennis,Monmouth IL,25207.0
2021,Men,Track and Fields,Monmouth IL,100278.0
2021,Women,Basketball,Monmouth IL,71383.0
2021,Women,Cross Country,Monmouth IL,25943.0
2021,Women,Golf,Monmouth IL,18328.0
2021,Women,Soccer,Monmouth IL,66154.0
2021,Women,Softball,Monmouth IL,73391.0
2021,Women,Tennis,Monmouth IL,22225.0
2021,Women,Track and Fields,Monmouth IL,106015.0
2021,Women,Volleyball,Monmouth IL,66282.0
2022,Men,Baseball,Monmouth IL,122001.0
2022,Men,Basketball,Monmouth IL,95517.0
2022,Men,Cross Country,Monmouth IL,22902.0
2022,Men,Football,Monmouth IL,373864.0
2022,Men,Golf,Monmouth IL,27073.0
2022,Men,Soccer,Monmouth IL,47601.0
2022,Men,Tennis,Monmouth IL,27089.0
2022,Men,Track and Fields,Monmouth IL,87540.0
2022,Women,Basketball,Monmouth IL,73212.0
2022,Women,Cross Country,Monmouth IL,23079.0
2022,Women,Golf,Monmouth IL,22052.0
2022,Women,Soccer,Monmouth IL,60398.0
2022,Women,Softball,Monmouth IL,99594.0
2022,Women,Tennis,Monmouth IL,26732.0
2022,Women,Track and Fields,Monmouth IL,94880.0
2022,Women,Volleyball,Monmouth IL,66242.0
2003,Men,Baseball,Macalester College,93332.0
2003,Men,Basketball,Macalester College,99610.0
2003,Men,Cross Country,Macalester College,82411.0
2003,Men,Football,Macalester College,190903.0
2003,Men,Golf,Macalester College,45930.0
2003,Men,Soccer,Macalester College,80550.0
2003,Men,Swimming and Diving,Macalester College,43735.0
2003,Men,Tennis,Macalester College,23194.0
2003,Women,Basketball,Macalester College,80874.0
2003,Women,Cross Country,Macalester College,99169.0
2003,Women,Golf,Macalester College,34618.0
