Overall,OverallPCT,Conf,ConfPCT,Streak,Home,Away,Neutral,Gender,Sport,Year
0-22,0,0-14,0,L22,0-10,0-10,0-2,Men,Basketball,1979
19-Mar,0.136,12-Feb,0.143,L5,8-Feb,0-11,Jan-00,Men,Basketball,1980
20-Feb,0.091,0-14,0,L13,8-Jan,12-Jan,0-0,Men,Basketball,1981
15-Jul,0.318,9-May,0.357,L1,6-Apr,9-Mar,0-0,Men,Basketball,1982
16-Jun,0.273,11-Mar,0.214,W2,6-May,10-Jan,0-0,Men,Basketball,1983
13-Sep,0.409,7-Jul,0.5,L1,3-Jul,10-Feb,0-0,Men,Basketball,1984
15-Jul,0.318,10-Apr,0.286,L2,5-Apr,10-Mar,0-0,Men,Basketball,1985
17-May,0.227,11-Mar,0.214,L7,5-May,0-12,0-0,Men,Basketball,1986
21-Jan,0.045,0-14,0,L20,0-10,11-Jan,0-0,Men,Basketball,1987
18-Apr,0.182,13-Jan,0.071,W1,9-Mar,9-Jan,0-0,Men,Basketball,1988
19-Mar,0.136,12-Feb,0.143,L1,8-Feb,11-Jan,0-0,Men,Basketball,1989
15-Jul,0.318,11-Mar,0.214,L6,6-May,9-Feb,0-0,Men,Basketball,1990
11-Nov,0.5,8-May,0.385,W3,3-Aug,7-Mar,0-1,Men,Basketball,1991
12-Oct,0.455,9-May,0.357,W1,7-Jul,5-Mar,0-0,Men,Basketball,1992
13-8,0.619,6-Aug,0.571,W1,3-Jul,5-Jun,0-0,Men,Basketball,1993
14-7,0.667,5-Sep,0.643,L2,2-Oct,5-Apr,0-0,Men,Basketball,1994
17-8,0.68,3-Nov,0.786,L1,3-Nov,5-Jun,0-0,Men,Basketball,1995
12-Nov,0.478,6-Aug,0.571,L2,4-Jul,8-Apr,0-0,Men,Basketball,1996
12-Oct,0.455,8-May,0.385,L1,5-Jul,7-Mar,0-0,Men,Basketball,1997
11-Nov,0.5,9-Jul,0.438,W1,3-Jul,7-Mar,1-Jan,Men,Basketball,1998
15-5,,3-Aug,,W2,2-Sep,3-May,Jan-00,Men,Basketball,1999
16-8,0.667,4-Dec,0.75,L1,Nov-00,7-May,0-1,Men,Basketball,2000
12-Dec,0.5,7-Sep,0.562,L1,4-Sep,8-Mar,0-0,Men,Basketball,2001
19-6,0.76,13-3,0.812,L1,1-Oct,5-Aug,Jan-00,Men,Basketball,2002
18-6,0.75,5-Nov,0.688,L1,Nov-00,5-Jun,1-Jan,Men,Basketball,2003
15-Aug,0.348,11-May,0.312,W3,4-Apr,10-Mar,1-Jan,Men,Basketball,2004
14-9,0.609,6-Oct,0.625,L2,3-Oct,5-Apr,0-1,Men,Basketball,2005
17-7,0.708,13-3,0.812,L1,2-Oct,4-Jun,1-Jan,Men,Basketball,2006
16-8,0.667,5-Nov,0.688,L1,2-Aug,5-Jul,1-Jan,Men,Basketball,2007
18-7,0.72,13-3,0.812,L1,4-Sep,3-Aug,Jan-00,Men,Basketball,2008
15-Aug,0.348,10-Jun,0.375,W2,3-Jul,11-Jan,0-1,Men,Basketball,2009
18-7,0.72,6-Dec,0.667,L1,1-Nov,6-May,Feb-00,Men,Basketball,2010
18-5,0.783,14-4,0.778,L1,Nov-00,4-Jul,0-1,Men,Basketball,2011
17-6,0.739,14-4,0.778,L2,2-Sep,3-Jun,1-Feb,Men,Basketball,2012
19-6,0.76,13-5,0.722,L1,2-Nov,4-Jul,Jan-00,Men,Basketball,2013
15-10,0.6,6-Nov,0.647,L1,2-Sep,7-Apr,1-Feb,Men,Basketball,2014
14-Sep,0.391,12-Jun,0.333,W1,7-Jun,7-Mar,0-0,Men,Basketball,2015
16-7,0.696,13-5,0.722,W5,1-Nov,6-May,0-0,Men,Basketball,2016
13-11,0.542,10-Aug,0.444,L1,3-Dec,8-Jan,0-0,Men,Basketball,2017
19-6,0.76,15-3,0.833,L1,13-0,5-Jun,0-1,Men,Basketball,2018
13-12,0.52,9-Sep,0.5,L1,5-Sep,7-Apr,0-0,Men,Basketball,2019
0-0,0,0-0,0,,0-0,0-0,0-0,Men,Basketball,2020
16-9,0.64,6-Oct,0.625,L3,3-Oct,5-Jun,0-1,Men,Basketball,2021
16-Aug,0.333,12-Apr,0.25,L1,9-Jun,7-Feb,0-0,Men,Basketball,2022
19-7,0.731,4-Dec,0.75,L1,2-Nov,5-Jul,Jan-00,Men,Basketball,2023
15-5,0.75,3-Aug,0.727,W2,2-Sep,3-May,Jan-00,Men,Basketball,2024
Jan-00,1,0-0,0,W1,Jan-00,0-0,0-0,Men,Football,1889
1-Jan,0.5,0-0,0,L1,0-0,1-Jan,0-0,Men,Football,1890
1/1/2001,0.5,0-0,0,L1,1-0-1,0-1,0-0,Men,Football,1891
2-Apr,0.667,0-0,0,L1,0-0,0-2,Apr-00,Men,Football,1892
1-Mar,0.75,0-0,0,W2,Jan-00,1-Feb,0-0,Men,Football,1893
4-Jun,0.6,0-0,0,L1,Jan-00,3-Jan,1-Apr,Men,Football,1894
2-May,0.714,0-0,0,W3,Jan-00,1-Jan,1-Mar,Men,Football,1895
4-Apr,0.5,0-0,0,W1,0-1,2-Jan,1-Mar,Men,Football,1896
2-May,0.714,0-0,0,W1,Jan-00,2-Feb,Feb-00,Men,Football,1897
5/1/2001,0.786,0-0,0,W1,0-1-1,Jan-00,Apr-00,Men,Football,1898
7/2/2001,0.75,0-0,0,W3,Feb-00,1/1/2001,1-Apr,Men,Football,1899
6-Mar,0.333,0-0,0,L3,Feb-00,0-4,2-Jan,Men,Football,1900
7/1/2001,0.833,0-0,0,W1,Jan-00,1-Mar,3-0-1,Men,Football,1901
2/6/2002,0.3,0-0,0,L1,0-0-1,0-5,2/1/2001,Men,Football,1902
4-May,0.556,0-0,0,W1,0-3,1-Jan,Apr-00,Men,Football,1903
1/6/2001,0.188,0-0,0,L5,0-0,0-6,1-0-1,Men,Football,1904
7/2/2001,0.75,0-0,0,W2,1-Jan,1-Jan,5-0-1,Men,Football,1905
2-Jun,0.75,0-0,0,L1,Jan-00,1-Jan,1-Apr,Men,Football,1906
2-Jun,0.75,0-0,0,W1,0-1,1-Jan,May-00,Men,Football,1907
4-May,0.556,0-0,0,W1,0-0,0-3,1-May,Men,Football,1908
2/5/2001,0.312,0-0,0,L4,0-2,0-2,2/1/2001,Men,Football,1909
2-Jun,0.75,0-0,0,L2,Jan-00,1-Jan,1-Apr,Men,Football,1910
4-Apr,0.5,0-0,0,L3,0-1,1-Jan,2-Mar,Men,Football,1911
2-Jun,0.75,0-0,0,L1,Feb-00,1-Feb,1-Feb,Men,Football,1912
6-Mar,0.333,0-0,0,L1,1-Jan,0-2,3-Feb,Men,Football,1913
5-Feb,0.286,0-0,0,W1,0-0,0-1,4-Feb,Men,Football,1914
1-Jun,0.857,0-0,0,W3,0-0,Feb-00,1-Apr,Men,Football,1915
1-Jul,0.875,0-0,0,W5,Mar-00,0-1,Apr-00,Men,Football,1916
Aug-00,1,0-0,0,W8,Jan-00,Feb-00,May-00,Men,Football,1917
2-Jan,0.333,0-0,0,L1,0-1,Jan-00,0-1,Men,Football,1918
1/4/2001,0.25,0-3,0,T1,0-1,0-2,1/1/2001,Men,Football,1919
3/3/2001,0.5,0-2-1,0.167,W2,1/1/2001,0-0,2-Feb,Men,Football,1920
5-Feb,0.286,0-4,0,L1,Jan-00,0-3,2-Jan,Men,Football,1921
5-Mar,0.375,3-Jan,0.25,L2,0-1,0-2,2-Mar,Men,Football,1922
6-Feb,0.25,3-Jan,0.25,L6,0-3,0-2,1-Feb,Men,Football,1923
3-Mar,0.5,1-Feb,0.667,L1,Jan-00,0-1,2-Feb,Men,Football,1924
3/3/2002,0.5,2/2/2001,0.5,L1,1-Jan,1/1/2001,1/1/2001,Men,Football,1925
6/1/2001,0.812,3/1/2001,0.7,W1,2-0-1,1-Jan,Mar-00,Men,Football,1926
0-7-1,0.062,0-5,0,L7,0-2,0-3,0-2-1,Men,Football,1927
4/3/2001,0.562,2-Jan,0.333,L1,Jan-00,0-2-1,1-Mar,Men,Football,1928
5/1/2002,0.75,1-0-2,0.667,W3,0-0,1/1/2001,4-0-1,Men,Football,1929
4-May,0.556,2-Jan,0.333,W2,Jan-00,1-Jan,3-Mar,Men,Football,1930
3-May,0.625,2-Jan,0.333,L2,0-0,1-Jan,2-Apr,Men,Football,1931
3/4/2001,0.438,3-Jan,0.25,L2,0-0,2-Jan,2/2/2001,Men,Football,1932
0-8-1,0.056,0-2,0,L3,0-1,0-2,0-5-1,Men,Football,1933
7-Feb,0.222,0-2,0,W1,0-0,3-Jan,4-Jan,Men,Football,1934
3/5/2001,0.389,2-Jan,0.333,L2,Jan-00,0-2-1,3-Feb,Men,Football,1935
7-Feb,0.222,0-3,0,L7,0-0,0-3,4-Feb,Men,Football,1936
2/6/2001,0.278,3-Jan,0.25,L4,0-0,1/1/2001,5-Jan,Men,Football,1937
5-Mar,0.375,0-3,0,W1,0-1,0-2,2-Mar,Men,Football,1938
3/5/2001,0.389,3-Feb,0.4,W1,1-Jan,0-2-1,2-Feb,Men,Football,1939
4-May,0.556,2-Apr,0.667,W2,1-Jan,1-Jan,2-Mar,Men,Football,1940
3-Jun,0.667,2-Apr,0.667,W2,0-0,0-2,1-Jun,Men,Football,1941
4-Mar,0.429,2-Mar,0.6,W3,0-0,0-1,3-Mar,Men,Football,1942
0-1,0,0-0,0,L1,0-1,0-0,0-0,Men,Football,1945
5-Mar,0.375,4-Feb,0.333,W1,0-1,0-0,4-Mar,Men,Football,1946
5-Mar,0.375,3-Mar,0.5,L2,0-0,0-1,4-Mar,Men,Football,1947
7-Jan,0.125,5-Jan,0.167,L3,0-0,0-1,6-Jan,Men,Football,1948
3-May,0.625,3-Mar,0.5,L1,0-1,0-0,2-May,Men,Football,1949
6-Feb,0.25,5-Jan,0.167,L4,Jan-00,0-1,5-Jan,Men,Football,1950
1/6/2001,0.188,5-Jan,0.167,L1,0-1-1,0-0,5-Jan,Men,Football,1951
0-8,0,0-7,0,L8,0-4,0-2,0-2,Men,Football,1952
4-Apr,0.5,3-Apr,0.571,L1,2-Feb,2-Feb,0-0,Men,Football,1953
