Year,School,Gender,Sport,Total Expense,Operating Expense,Undergrads
2014,Beloit College,Women,Volleyball,94861,22496,700
2015,Beloit College,Men,All Track Combined,78047,35439,573
2015,Beloit College,Men,Baseball,167009,95393,573
2015,Beloit College,Men,Basketball,113801,35940,573
2015,Beloit College,Men,Football,296057,59642,573
2015,Beloit College,Men,Lacrosse,117702,50568,573
2015,Beloit College,Men,Soccer,56956,20049,573
2015,Beloit College,Men,Swimming,38494,13606,573
2015,Beloit College,Men,Total,868066,310637,573
2015,Beloit College,Women,All Track Combined,75306,32713,693
2015,Beloit College,Women,Basketball,100587,37186,693
2015,Beloit College,Women,Lacrosse,104227,41378,693
2015,Beloit College,Women,Soccer,78571,24260,693
2015,Beloit College,Women,Softball,104985,42048,693
2015,Beloit College,Women,Swimming,38494,13606,693
2015,Beloit College,Women,Tennis,17956,9877,693
2015,Beloit College,Women,Total,614584,220299,693
2015,Beloit College,Women,Volleyball,94458,19231,693
2016,Beloit College,Men,All Track Combined,88637,40299,610
2016,Beloit College,Men,Baseball,117900,104897,610
2016,Beloit College,Men,Basketball,179556,29326,610
2016,Beloit College,Men,Football,316139,82852,610
2016,Beloit College,Men,Lacrosse,135278,58397,610
2016,Beloit College,Men,Soccer,63810,18941,610
2016,Beloit College,Men,Swimming,37537,12029,610
2016,Beloit College,Men,Total,938857,346741,610
2016,Beloit College,Women,All Track Combined,86420,38104,700
2016,Beloit College,Women,Basketball,85904,23882,700
2016,Beloit College,Women,Lacrosse,77852,32428,700
2016,Beloit College,Women,Soccer,78450,23055,700
2016,Beloit College,Women,Softball,114990,47094,700
2016,Beloit College,Women,Swimming,37537,12029,700
2016,Beloit College,Women,Tennis,15531,10171,700
2016,Beloit College,Women,Total,599675,214442,700
2016,Beloit College,Women,Volleyball,102991,27679,700
2017,Beloit College,Men,All Track Combined,90615,41676,629
2017,Beloit College,Men,Baseball,172033,88883,629
2017,Beloit College,Men,Basketball,142893,52216,629
2017,Beloit College,Men,Football,313781,80101,629
2017,Beloit College,Men,Lacrosse,136302,61652,629
2017,Beloit College,Men,Soccer,72440,20584,629
2017,Beloit College,Men,Swimming,37628,11858,629
2017,Beloit College,Men,Total,965692,356970,629
2017,Beloit College,Women,All Track Combined,95200,46248,691
2017,Beloit College,Women,Basketball,117939,32762,691
2017,Beloit College,Women,Lacrosse,97888,36897,691
2017,Beloit College,Women,Soccer,81818,35007,691
2017,Beloit College,Women,Softball,115926,54149,691
2017,Beloit College,Women,Swimming,36645,10946,691
2017,Beloit College,Women,Tennis,15450,8986,691
2017,Beloit College,Women,Total,661871,249471,691
2017,Beloit College,Women,Volleyball,101005,24476,691
2018,Beloit College,Men,All Track Combined,104394,47215,552
2018,Beloit College,Men,Baseball,170492,88883,552
2018,Beloit College,Men,Basketball,140982,52216,552
2018,Beloit College,Men,Football,303857,80101,552
2018,Beloit College,Men,Lacrosse,118161,61652,552
2018,Beloit College,Men,Soccer,76228,20584,552
2018,Beloit College,Men,Swimming,66537,10900,552
2018,Beloit College,Men,Total,980651,361551,552
2018,Beloit College,Women,All Track Combined,97869,40709,656
2018,Beloit College,Women,Basketball,115005,32762,656
2018,Beloit College,Women,Lacrosse,97961,36897,656
2018,Beloit College,Women,Soccer,90037,35007,656
2018,Beloit College,Women,Softball,113799,54149,656
2018,Beloit College,Women,Swimming,67619,11904,656
2018,Beloit College,Women,Tennis,15435,8986,656
2018,Beloit College,Women,Total,674781,244890,656
2018,Beloit College,Women,Volleyball,77056,24476,656
2019,Beloit College,Men,All Track Combined,86320,24632,491
2019,Beloit College,Men,Baseball,137633,62663,491
2019,Beloit College,Men,Basketball,114653,33638,491
2019,Beloit College,Men,Football,342718,90452,491
2019,Beloit College,Men,Lacrosse,80704,28622,491
2019,Beloit College,Men,Soccer,73541,22642,491
