Category,Value,Gender,Sport,Year
ConfPCT,0,Men,Baseball,1903
Streak,W3,Men,Baseball,1903
Home,0-0,Men,Baseball,1903
Away,0-0,Men,Baseball,1903
Neutral,3-Aug,Men,Baseball,1903
Overall,10-Jul,Men,Baseball,1904
OverallPCT,0.412,Men,Baseball,1904
Conf,0-0,Men,Baseball,1904
ConfPCT,0,Men,Baseball,1904
Streak,L2,Men,Baseball,1904
Home,0-1,Men,Baseball,1904
Away,0-0,Men,Baseball,1904
Neutral,9-Jul,Men,Baseball,1904
Overall,8-Jun,Men,Baseball,1905
OverallPCT,0.429,Men,Baseball,1905
Conf,0-0,Men,Baseball,1905
ConfPCT,0,Men,Baseball,1905
Streak,L2,Men,Baseball,1905
Home,0-0,Men,Baseball,1905
Away,0-0,Men,Baseball,1905
Neutral,8-Jun,Men,Baseball,1905
Overall,7-Jul,Men,Baseball,1906
OverallPCT,0.5,Men,Baseball,1906
Conf,0-0,Men,Baseball,1906
ConfPCT,0,Men,Baseball,1906
Streak,L1,Men,Baseball,1906
Home,0-1,Men,Baseball,1906
Away,0-0,Men,Baseball,1906
Neutral,6-Jul,Men,Baseball,1906
Overall,4-May,Men,Baseball,1907
OverallPCT,0.556,Men,Baseball,1907
Conf,0-0,Men,Baseball,1907
ConfPCT,0,Men,Baseball,1907
Streak,L2,Men,Baseball,1907
Home,Jan-00,Men,Baseball,1907
Away,0-0,Men,Baseball,1907
Neutral,4-Apr,Men,Baseball,1907
Overall,6-May,Men,Baseball,1908
OverallPCT,0.455,Men,Baseball,1908
Conf,0-0,Men,Baseball,1908
ConfPCT,0,Men,Baseball,1908
Streak,L5,Men,Baseball,1908
Home,1-Jan,Men,Baseball,1908
Away,0-0,Men,Baseball,1908
Neutral,5-Apr,Men,Baseball,1908
Overall,3-Sep,Men,Baseball,1909
OverallPCT,0.75,Men,Baseball,1909
Conf,0-0,Men,Baseball,1909
ConfPCT,0,Men,Baseball,1909
Streak,W6,Men,Baseball,1909
Home,1-Jan,Men,Baseball,1909
Away,0-0,Men,Baseball,1909
Neutral,2-Aug,Men,Baseball,1909
Overall,5-Sep,Men,Baseball,1910
OverallPCT,0.643,Men,Baseball,1910
Conf,0-0,Men,Baseball,1910
ConfPCT,0,Men,Baseball,1910
Streak,W3,Men,Baseball,1910
Home,0-1,Men,Baseball,1910
Away,0-0,Men,Baseball,1910
Neutral,4-Sep,Men,Baseball,1910
Overall,14-May,Men,Baseball,1911
OverallPCT,0.263,Men,Baseball,1911
Conf,0-0,Men,Baseball,1911
ConfPCT,0,Men,Baseball,1911
Streak,W1,Men,Baseball,1911
Home,Jan-00,Men,Baseball,1911
Away,0-0,Men,Baseball,1911
Neutral,14-Apr,Men,Baseball,1911
Overall,8-Aug,Men,Baseball,1912
OverallPCT,0.5,Men,Baseball,1912
Conf,0-0,Men,Baseball,1912
ConfPCT,0,Men,Baseball,1912
Streak,W1,Men,Baseball,1912
Home,1-Jan,Men,Baseball,1912
Away,0-0,Men,Baseball,1912
Neutral,7-Jul,Men,Baseball,1912
Overall,8-Apr,Men,Baseball,1913
OverallPCT,0.333,Men,Baseball,1913
Conf,0-0,Men,Baseball,1913
ConfPCT,0,Men,Baseball,1913
Streak,L2,Men,Baseball,1913
Home,0-1,Men,Baseball,1913
Away,0-0,Men,Baseball,1913
Neutral,7-Apr,Men,Baseball,1913
Overall,4-Apr,Men,Baseball,1914
OverallPCT,0.5,Men,Baseball,1914
Conf,0-0,Men,Baseball,1914
ConfPCT,0,Men,Baseball,1914
Streak,L1,Men,Baseball,1914
Home,0-1,Men,Baseball,1914
Away,0-0,Men,Baseball,1914
Neutral,3-Apr,Men,Baseball,1914
Overall,5-Mar,Men,Baseball,1915
OverallPCT,0.375,Men,Baseball,1915
Conf,0-0,Men,Baseball,1915
ConfPCT,0,Men,Baseball,1915
Streak,W1,Men,Baseball,1915
Home,Jan-00,Men,Baseball,1915
Away,0-0,Men,Baseball,1915
Neutral,5-Feb,Men,Baseball,1915
Overall,7-Mar,Men,Baseball,1916
OverallPCT,0.3,Men,Baseball,1916
Conf,0-0,Men,Baseball,1916
ConfPCT,0,Men,Baseball,1916
Streak,L3,Men,Baseball,1916
Home,0-1,Men,Baseball,1916
Away,0-0,Men,Baseball,1916
Neutral,6-Mar,Men,Baseball,1916
Overall,7-Apr,Men,Baseball,1957
OverallPCT,0.364,Men,Baseball,1957
Conf,4-Mar,Men,Baseball,1957
ConfPCT,0.429,Men,Baseball,1957
Streak,W1,Men,Baseball,1957
Home,3-Jan,Men,Baseball,1957
Away,4-Feb,Men,Baseball,1957
Neutral,Jan-00,Men,Baseball,1957
Overall,10-Mar,Men,Baseball,1958
OverallPCT,0.231,Men,Baseball,1958
Conf,2-Feb,Men,Baseball,1958
ConfPCT,0.5,Men,Baseball,1958
Streak,L5,Men,Baseball,1958
Home,7-Jan,Men,Baseball,1958
Away,3-Feb,Men,Baseball,1958
Neutral,0-0,Men,Baseball,1958
Overall,4-Jul,Men,Baseball,1959
OverallPCT,0.636,Men,Baseball,1959
Conf,3-Apr,Men,Baseball,1959
ConfPCT,0.571,Men,Baseball,1959
Streak,L3,Men,Baseball,1959
Home,3-Feb,Men,Baseball,1959
Away,1-Mar,Men,Baseball,1959
Neutral,Feb-00,Men,Baseball,1959
Overall,8-May,Men,Baseball,1960
OverallPCT,0.385,Men,Baseball,1960
Conf,4-Apr,Men,Baseball,1960
ConfPCT,0.5,Men,Baseball,1960
Streak,L1,Men,Baseball,1960
Home,4-Feb,Men,Baseball,1960
Away,4-Mar,Men,Baseball,1960
Neutral,0-0,Men,Baseball,1960
Overall,8/6/2001,Men,Baseball,1961
OverallPCT,0.567,Men,Baseball,1961
Conf,4-Apr,Men,Baseball,1961
ConfPCT,0.5,Men,Baseball,1961
Streak,L1,Men,Baseball,1961
Home,5/2/2001,Men,Baseball,1961
Away,4-Mar,Men,Baseball,1961
Neutral,0-0,Men,Baseball,1961
Overall,7-Jul,Men,Baseball,1962
OverallPCT,0.5,Men,Baseball,1962
Conf,4-Apr,Men,Baseball,1962
ConfPCT,0.5,Men,Baseball,1962
Streak,L3,Men,Baseball,1962
Home,5-Apr,Men,Baseball,1962
Away,2-Mar,Men,Baseball,1962
Neutral,0-0,Men,Baseball,1962
Overall,12-Apr,Men,Baseball,1963
OverallPCT,0.25,Men,Baseball,1963
Conf,8-Apr,Men,Baseball,1963
ConfPCT,0.333,Men,Baseball,1963
Streak,L4,Men,Baseball,1963
Home,5-Feb,Men,Baseball,1963
Away,7-Feb,Men,Baseball,1963
Neutral,0-0,Men,Baseball,1963
Overall,11-Apr,Men,Baseball,1964
OverallPCT,0.267,Men,Baseball,1964
Conf,7-Apr,Men,Baseball,1964
ConfPCT,0.364,Men,Baseball,1964
Streak,L2,Men,Baseball,1964
Home,7-Jan,Men,Baseball,1964
Away,4-Mar,Men,Baseball,1964
