Year,Gender,Scores,Rank,School,Sport
2004,Women,1.5,9,Knox College,Softball
2004,Women,3,8,Knox College,Track & Field (Outdoor)
2004,Women,28,10,Knox College,Total
2004,Women,9,2,Lake Forest College,Volleyball
2004,Women,10,1,Lake Forest College,Soccer
2004,Women,4,7,Lake Forest College,Cross Country
2004,Women,4,7,Lake Forest College,Tennis
2004,Women,7.5,3,Lake Forest College,Basketball
2004,Women,9,2,Lake Forest College,Swimming & Diving
2004,Women,10,1,Lake Forest College,Softball
2004,Women,58.5,5,Lake Forest College,Total
2004,Women,3.5,7,Lawrence University,Volleyball
2004,Women,6,5,Lawrence University,Soccer
2004,Women,9,2,Lawrence University,Cross Country
2004,Women,9,2,Lawrence University,Tennis
2004,Women,7.5,3,Lawrence University,Basketball
2004,Women,7,4,Lawrence University,Swimming & Diving
2004,Women,2,9,Lawrence University,Track & Field (Indoor)
2004,Women,7,4,Lawrence University,Softball
2004,Women,2,9,Lawrence University,Track & Field (Outdoor)
2004,Women,46,8,Lawrence University,Total
2004,Women,8,3,Monmouth College,Volleyball
2004,Women,5,6,Monmouth College,Soccer
2004,Women,3,8,Monmouth College,Cross Country
2004,Women,3,8,Monmouth College,Tennis
2004,Women,3,8,Monmouth College,Basketball
2004,Women,3,8,Monmouth College,Swimming & Diving
2004,Women,10,1,Monmouth College,Track & Field (Indoor)
2004,Women,3.5,7,Monmouth College,Softball
2004,Women,10,1,Monmouth College,Track & Field (Outdoor)
2004,Women,53,7,Monmouth College,Total
2004,Women,7,4,Ripon College,Volleyball
2004,Women,2,9,Ripon College,Soccer
2004,Women,8,3,Ripon College,Cross Country
2004,Women,5,6,Ripon College,Tennis
2004,Women,10,1,Ripon College,Basketball
2004,Women,4,7,Ripon College,Swimming & Diving
2004,Women,8,3,Ripon College,Track & Field (Indoor)
2004,Women,5.5,5,Ripon College,Softball
2004,Women,8,3,Ripon College,Track & Field (Outdoor)
2004,Women,63.5,3,Ripon College,Total
2004,Women,10,1,St. Norbert College,Volleyball
2004,Women,7,4,St. Norbert College,Soccer
2004,Women,6,5,St. Norbert College,Cross Country
2004,Women,6,5,St. Norbert College,Tennis
2004,Women,9,2,St. Norbert College,Basketball
2004,Women,6,5,St. Norbert College,Swimming & Diving
