Year,Sport,Gender,Scores,Rank,School
2005,Indoor Track & Field,Men,2,9,Carroll University
2005,Tennis,Men,2,9,Carroll University
2005,Baseball,Men,2.5,8,Carroll University
2005,Outdoor Track & Field,Men,2,9,Carroll University
2005,Total,Men,43.5,7,Carroll University
2005,Football,Men,6.5,4,Grinnell College
2005,Soccer,Men,4,7,Grinnell College
2005,Cross Country,Men,10,1,Grinnell College
2005,Basketball,Men,2.5,7,Grinnell College
2005,Swimming,Men,10,1,Grinnell College
2005,Indoor Track & Field,Men,8,3,Grinnell College
2005,Tennis,Men,10,1,Grinnell College
2005,Baseball,Men,5,5,Grinnell College
2005,Outdoor Track & Field,Men,8,3,Grinnell College
2005,Total,Men,69,3,Grinnell College
2005,Football,Men,6.5,4,Illinois College
2005,Soccer,Men,3,8,Illinois College
2005,Cross Country,Men,1,10,Illinois College
2005,Basketball,Men,2.5,7,Illinois College
2005,Indoor Track & Field,Men,7,4,Illinois College
2005,Tennis,Men,1,10,Illinois College
2005,Baseball,Men,7.5,3,Illinois College
2005,Outdoor Track & Field,Men,4,7,Illinois College
2005,Total,Men,35.5,10,Illinois College
2005,Football,Men,1.5,9,Knox College
2005,Soccer,Men,2,9,Knox College
2005,Cross Country,Men,3,8,Knox College
2005,Basketball,Men,5,6,Knox College
2005,Swimming,Men,4,7,Knox College
2005,Indoor Track & Field,Men,3,8,Knox College
2005,Tennis,Men,7,4,Knox College
2005,Baseball,Men,2.5,8,Knox College
2005,Outdoor Track & Field,Men,3,8,Knox College
2005,Total,Men,40,8,Knox College
2005,Football,Men,8,3,Lake Forest College
2005,Soccer,Men,7,3,Lake Forest College
2005,Cross Country,Men,4,7,Lake Forest College
2005,Basketball,Men,7.5,3,Lake Forest College
2005,Swimming,Men,8,3,Lake Forest College
2005,Tennis,Men,4,7,Lake Forest College
2005,Total,Men,38.5,9,Lake Forest College
2005,Football,Men,1.5,9,Lawrence University
2005,Soccer,Men,7,3,Lawrence University
2005,Cross Country,Men,5,6,Lawrence University
2005,Basketball,Men,10,1,Lawrence University
2005,Swimming,Men,9,2,Lawrence University
2005,Indoor Track & Field,Men,5,6,Lawrence University
2005,Tennis,Men,5,6,Lawrence University
2005,Baseball,Men,5,5,Lawrence University
2005,Outdoor Track & Field,Men,7,4,Lawrence University
2005,Total,Men,64.5,4,Lawrence University
2005,Football,Men,9,2,Monmouth College
2005,Soccer,Men,1,10,Monmouth College
2005,Cross Country,Men,9,2,Monmouth College
2005,Basketball,Men,6,5,Monmouth College
2005,Swimming,Men,7,4,Monmouth College
2005,Indoor Track & Field,Men,10,1,Monmouth College
2005,Tennis,Men,6,5,Monmouth College
2005,Baseball,Men,7.5,3,Monmouth College
2005,Outdoor Track & Field,Men,10,1,Monmouth College
2005,Total,Men,73.5,1,Monmouth College
2005,Football,Men,5,6,Ripon College
2005,Soccer,Men,5,6,Ripon College
2005,Cross Country,Men,6.5,4,Ripon College
2005,Basketball,Men,9,2,Ripon College
2005,Swimming,Men,3,8,Ripon College
2005,Indoor Track & Field,Men,6,5,Ripon College
2005,Tennis,Men,9,2,Ripon College
2005,Baseball,Men,10,1,Ripon College
2005,Outdoor Track & Field,Men,6,5,Ripon College
2005,Total,Men,61.5,5,Ripon College
2005,Football,Men,10,1,St. Norbert College
2005,Soccer,Men,10,1,St. Norbert College
2005,Cross Country,Men,8,3,St. Norbert College
2005,Basketball,Men,2.5,7,St. Norbert College
2005,Indoor Track & Field,Men,9,2,St. Norbert College
2005,Tennis,Men,8,3,St. Norbert College
2005,Baseball,Men,9,2,St. Norbert College
2005,Outdoor Track & Field,Men,9,2,St. Norbert College
2005,Total,Men,71.5,2,St. Norbert College
2005,Volleyball,Women,6,5,Beloit College
2005,Soccer,Women,3,8,Beloit College
2005,Cross Country,Women,7,4,Beloit College
2005,Tennis,Women,8,3,Beloit College
2005,Basketball,Women,4,7,Beloit College
2005,Swimming,Women,5,6,Beloit College
2005,Indoor Track & Field,Women,4,7,Beloit College
2005,Outdoor Track & Field,Women,6,5,Beloit College
2005,Total,Women,55,6,Beloit College
2005,Volleyball,Women,1.5,9,Carroll University
2005,Soccer,Women,9,2,Carroll University
2005,Cross Country,Women,5,6,Carroll University
2005,Tennis,Women,7,4,Carroll University
2005,Basketball,Women,5,6,Carroll University
2005,Swimming,Women,8,3,Carroll University
2005,Indoor Track & Field,Women,9,2,Carroll University
2005,Outdoor Track & Field,Women,9,2,Carroll University
2005,Total,Women,61.5,4,Carroll University
2005,Volleyball,Women,3.5,7,Grinnell College
2005,Soccer,Women,8,3,Grinnell College
2005,Cross Country,Women,10,1,Grinnell College
2005,Tennis,Women,10,1,Grinnell College
2005,Basketball,Women,2,9,Grinnell College
2005,Swimming,Women,10,1,Grinnell College
2005,Indoor Track & Field,Women,6,5,Grinnell College
2005,Outdoor Track & Field,Women,7,4,Grinnell College
2005,Total,Women,69,1,Grinnell College
2005,Volleyball,Women,5,6,Illinois College
2005,Soccer,Women,4,7,Illinois College
2005,Cross Country,Women,1,10,Illinois College
2005,Tennis,Women,1,10,Illinois College
2005,Basketball,Women,6,5,Illinois College
2005,Indoor Track & Field,Women,5,6,Illinois College
2005,Outdoor Track & Field,Women,4,7,Illinois College
2005,Total,Women,44,9,Illinois College
2005,Volleyball,Women,1.5,9,Knox College
2005,Soccer,Women,1,10,Knox College
2005,Cross Country,Women,2,9,Knox College
2005,Tennis,Women,4,7,Knox College
2005,Basketball,Women,1,10,Knox College
2005,Swimming,Women,2,9,Knox College
2005,Indoor Track & Field,Women,3,8,Knox College
2005,Outdoor Track & Field,Women,3,8,Knox College
2005,Total,Women,28,10,Knox College
2005,Volleyball,Women,9,2,Lake Forest College
2005,Soccer,Women,10,1,Lake Forest College
2005,Cross Country,Women,4,7,Lake Forest College
2005,Tennis,Women,9,2,Lake Forest College
2005,Basketball,Women,7.5,3,Lake Forest College
2005,Swimming,Women,9,2,Lake Forest College
2005,Total,Women,58.5,5,Lake Forest College
2005,Volleyball,Women,3.5,7,Lawrence University
2005,Soccer,Women,6,5,Lawrence University
2005,Cross Country,Women,9,2,Lawrence University
2005,Tennis,Women,2,9,Lawrence University
2005,Basketball,Women,7.5,3,Lawrence University
2005,Swimming,Women,7,4,Lawrence University
2005,Indoor Track & Field,Women,2,9,Lawrence University
2005,Outdoor Track & Field,Women,2,9,Lawrence University
2005,Total,Women,46,8,Lawrence University
2005,Volleyball,Women,8,3,Monmouth College
2005,Soccer,Women,5,6,Monmouth College
2005,Cross Country,Women,3,8,Monmouth College
2005,Tennis,Women,3,8,Monmouth College
2005,Basketball,Women,3,8,Monmouth College
2005,Swimming,Women,3,8,Monmouth College
2005,Indoor Track & Field,Women,10,1,Monmouth College
2005,Outdoor Track & Field,Women,10,1,Monmouth College
2005,Total,Women,53,7,Monmouth College
2005,Volleyball,Women,7,4,Ripon College
2005,Soccer,Women,2,9,Ripon College
2005,Cross Country,Women,8,3,Ripon College
2005,Tennis,Women,5,6,Ripon College
2005,Basketball,Women,10,1,Ripon College
2005,Swimming,Women,4,7,Ripon College
2005,Indoor Track & Field,Women,8,3,Ripon College
2005,Outdoor Track & Field,Women,8,3,Ripon College
2005,Total,Women,63.5,3,Ripon College
2005,Volleyball,Women,10,1,St. Norbert College
2005,Soccer,Women,7,4,St. Norbert College
2005,Cross Country,Women,6,5,St. Norbert College
2005,Tennis,Women,6,5,St. Norbert College
2005,Basketball,Women,9,2,St. Norbert College
2005,Swimming,Women,6,5,St. Norbert College
2005,Indoor Track & Field,Women,7,4,St. Norbert College
2005,Outdoor Track & Field,Women,5,6,St. Norbert College
2005,Total,Women,65.5,2,St. Norbert College
2006,Football,Men,1,10,Beloit College
2006,Soccer,Men,10,1,Beloit College
2006,Cross Country,Men,7,4,Beloit College
2006,Basketball,Men,3,8,Beloit College
2006,Swimming,Men,5,6,Beloit College
2006,Indoor Track & Field,Men,4,7,Beloit College
2006,Tennis,Men,2,9,Beloit College
2006,Outdoor Track & Field,Men,4,7,Beloit College
2006,Baseball,Men,5.5,5,Beloit College
2006,Total,Men,43.5,8,Beloit College
2006,Football,Men,4.5,6,Carroll University
2006,Soccer,Men,6.5,4,Carroll University
2006,Cross Country,Men,0,10,Carroll University
2006,Basketball,Men,9,2,Carroll University
2006,Swimming,Men,6,5,Carroll University
2006,Indoor Track & Field,Men,7,4,Carroll University
2006,Tennis,Men,3,8,Carroll University
2006,Outdoor Track & Field,Men,6,5,Carroll University
2006,Baseball,Men,2,9,Carroll University
2006,Total,Men,52,5,Carroll University
2006,Football,Men,3,8,Grinnell College
2006,Soccer,Men,8,3,Grinnell College
2006,Cross Country,Men,9.5,1,Grinnell College
2006,Basketball,Men,10,1,Grinnell College
2006,Swimming,Men,10,1,Grinnell College
2006,Indoor Track & Field,Men,6,5,Grinnell College
2006,Tennis,Men,10,1,Grinnell College
2006,Outdoor Track & Field,Men,7,4,Grinnell College
2006,Baseball,Men,3.5,7,Grinnell College
2006,Total,Men,74,2,Grinnell College
2006,Football,Men,7,4,Illinois College
2006,Soccer,Men,4,7,Illinois College
2006,Cross Country,Men,4,7,Illinois College
2006,Basketball,Men,1.5,9,Illinois College
2006,Indoor Track & Field,Men,9,2,Illinois College
2006,Tennis,Men,1,10,Illinois College
2006,Outdoor Track & Field,Men,9,2,Illinois College
2006,Baseball,Men,7,4,Illinois College
2006,Total,Men,45.5,7,Illinois College
2006,Football,Men,2,9,Knox College
2006,Soccer,Men,1,10,Knox College
2006,Cross Country,Men,2,9,Knox College
2006,Basketball,Men,1.5,9,Knox College
2006,Swimming,Men,3,8,Knox College
2006,Indoor Track & Field,Men,2,9,Knox College
2006,Tennis,Men,5,6,Knox College
