Year,Gender,Sport,Total Expense,Operating Expense,Undergrads,School
2009,Men,Golf,11348,8547,536,Cornell College
2009,Men,Soccer,30244,11418,536,Cornell College
2009,Men,Tennis,39076,11304,536,Cornell College
2009,Men,Total,777354,185315,536,Cornell College
2009,Men,Track and Field Indoor,25769,9798,536,Cornell College
2009,Men,Track and Field Outdoor,25769,9798,536,Cornell College
2009,Men,Track and Field X Country,22357,7449,536,Cornell College
2009,Men,Wrestling,106893,18902,536,Cornell College
2009,Women,Basketball,135560,22926,585,Cornell College
2009,Women,Golf,6401,5238,585,Cornell College
2009,Women,Soccer,32149,10572,585,Cornell College
2009,Women,Softball,75481,24101,585,Cornell College
2009,Women,Tennis,27886,5877,585,Cornell College
2009,Women,Total,415036,107813,585,Cornell College
2009,Women,Track and Field Indoor,23691,7720,585,Cornell College
2009,Women,Track and Field Outdoor,23691,7720,585,Cornell College
2009,Women,Track and Field X Country,20287,5379,585,Cornell College
2009,Women,Volleyball,69890,18280,585,Cornell College
2010,Men,Baseball,80380,22471,543,Cornell College
2010,Men,Basketball,118544,21805,543,Cornell College
2010,Men,Football,324748,87788,543,Cornell College
2010,Men,Golf,15190,7437,543,Cornell College
2010,Men,Soccer,57059,15330,543,Cornell College
2010,Men,Tennis,32944,7435,543,Cornell College
2010,Men,Total,875740,224226,543,Cornell College
2010,Men,Track and Field Indoor,27981,11225,543,Cornell College
2010,Men,Track and Field Outdoor,28405,11649,543,Cornell College
2010,Men,Track and Field X Country,31335,6109,543,Cornell College
2010,Men,Wrestling,159154,32977,543,Cornell College
2010,Women,Basketball,125930,20393,633,Cornell College
2010,Women,Golf,8196,4320,633,Cornell College
2010,Women,Soccer,31870,11901,633,Cornell College
2010,Women,Softball,94964,31089,633,Cornell College
2010,Women,Tennis,30985,6441,633,Cornell College
2010,Women,Total,464070,120645,633,Cornell College
2010,Women,Track and Field Indoor,26111,9355,633,Cornell College
2010,Women,Track and Field Outdoor,25687,8931,633,Cornell College
