Year,Gender,Total Expense,Operating Expense,Undergrads,School,Sport
2016,Men,938857,346741,610,Beloit College,Total
2016,Women,86420,38104,700,Beloit College,All Track Combined
2016,Women,85904,23882,700,Beloit College,Basketball
2016,Women,77852,32428,700,Beloit College,Lacrosse
2016,Women,78450,23055,700,Beloit College,Soccer
2016,Women,114990,47094,700,Beloit College,Softball
2016,Women,37537,12029,700,Beloit College,Swimming & Diving
2016,Women,15531,10171,700,Beloit College,Tennis
2016,Women,599675,214442,700,Beloit College,Total
2016,Women,102991,27679,700,Beloit College,Volleyball
2017,Men,90615,41676,629,Beloit College,All Track Combined
2017,Men,172033,88883,629,Beloit College,Baseball
2017,Men,142893,52216,629,Beloit College,Basketball
2017,Men,313781,80101,629,Beloit College,Football
2017,Men,136302,61652,629,Beloit College,Lacrosse
2017,Men,72440,20584,629,Beloit College,Soccer
2017,Men,37628,11858,629,Beloit College,Swimming & Diving
2017,Men,965692,356970,629,Beloit College,Total
2017,Women,95200,46248,691,Beloit College,All Track Combined
2017,Women,117939,32762,691,Beloit College,Basketball
2017,Women,97888,36897,691,Beloit College,Lacrosse
2017,Women,81818,35007,691,Beloit College,Soccer
2017,Women,115926,54149,691,Beloit College,Softball
2017,Women,36645,10946,691,Beloit College,Swimming & Diving
2017,Women,15450,8986,691,Beloit College,Tennis
2017,Women,661871,249471,691,Beloit College,Total
2017,Women,101005,24476,691,Beloit College,Volleyball
2018,Men,104394,47215,552,Beloit College,All Track Combined
2018,Men,170492,88883,552,Beloit College,Baseball
2018,Men,140982,52216,552,Beloit College,Basketball
2018,Men,303857,80101,552,Beloit College,Football
2018,Men,118161,61652,552,Beloit College,Lacrosse
2018,Men,76228,20584,552,Beloit College,Soccer
2018,Men,66537,10900,552,Beloit College,Swimming & Diving
2018,Men,980651,361551,552,Beloit College,Total
2018,Women,97869,40709,656,Beloit College,All Track Combined
2018,Women,115005,32762,656,Beloit College,Basketball
2018,Women,97961,36897,656,Beloit College,Lacrosse
2018,Women,90037,35007,656,Beloit College,Soccer
2018,Women,113799,54149,656,Beloit College,Softball
2018,Women,67619,11904,656,Beloit College,Swimming & Diving
2018,Women,15435,8986,656,Beloit College,Tennis
2018,Women,674781,244890,656,Beloit College,Total
2018,Women,77056,24476,656,Beloit College,Volleyball
2019,Men,86320,24632,491,Beloit College,All Track Combined
2019,Men,137633,62663,491,Beloit College,Baseball
2019,Men,114653,33638,491,Beloit College,Basketball
2019,Men,342718,90452,491,Beloit College,Football
2019,Men,80704,28622,491,Beloit College,Lacrosse
2019,Men,73541,22642,491,Beloit College,Soccer
2019,Men,44464,16830,491,Beloit College,Swimming & Diving
2019,Men,880033,279479,491,Beloit College,Total
2019,Women,81801,20153,572,Beloit College,All Track Combined
2019,Women,113007,26991,572,Beloit College,Basketball
2019,Women,88724,17729,572,Beloit College,Lacrosse
2019,Women,76286,23619,572,Beloit College,Soccer
2019,Women,110930,40326,572,Beloit College,Softball
2019,Women,40540,12958,572,Beloit College,Swimming & Diving
2019,Women,11927,9246,572,Beloit College,Tennis
2019,Women,603047,177193,572,Beloit College,Total
2019,Women,79832,26171,572,Beloit College,Volleyball
2020,Men,101885,33206,421,Beloit College,Baseball
2020,Men,171209,39416,421,Beloit College,Total
2020,Men,69324,6210,421,Beloit College,Track & Field (Outdoor)
2020,Men,69324,6210,421,Beloit College,All Track Combined
2020,Women,66973,7382,496,Beloit College,Lacrosse
2020,Women,95795,24209,496,Beloit College,Softball
2020,Women,232643,38307,496,Beloit College,Total
2020,Women,69875,6716,496,Beloit College,Track & Field (Outdoor)
2020,Women,69875,6716,496,Beloit College,All Track Combined
2021,Men,104918,39047,458,Beloit College,All Track Combined
2021,Men,156248,99745,458,Beloit College,Baseball
2021,Men,122793,40193,458,Beloit College,Basketball
2021,Men,349124,66166,458,Beloit College,Football
2021,Men,90132,28802,458,Beloit College,Lacrosse
2021,Men,78575,14903,458,Beloit College,Soccer
2021,Men,30424,4290,458,Beloit College,Swimming & Diving
2021,Men,932214,293146,458,Beloit College,Total
2021,Women,102622,36773,497,Beloit College,All Track Combined
2021,Women,97521,32484,497,Beloit College,Basketball
2021,Women,58866,25384,497,Beloit College,Lacrosse
2021,Women,84460,25384,497,Beloit College,Soccer
2021,Women,142234,54811,497,Beloit College,Softball
2021,Women,35205,8592,497,Beloit College,Swimming & Diving
2021,Women,611875,214431,497,Beloit College,Total
2021,Women,90967,31003,497,Beloit College,Volleyball
2022,Men,106742,38516,440,Beloit College,All Track Combined
2022,Men,174364,99745,440,Beloit College,Baseball
2022,Men,120389,40193,440,Beloit College,Basketball
2022,Men,356717,66166,440,Beloit College,Football
2022,Men,89868,28802,440,Beloit College,Lacrosse
2022,Men,55136,14903,440,Beloit College,Soccer
2022,Men,14439,4251,440,Beloit College,Swimming & Diving
2022,Men,917655,186217,440,Beloit College,Total
2022,Women,105517,37303,481,Beloit College,All Track Combined
2022,Women,90114,32484,481,Beloit College,Basketball
2022,Women,70995,25384,481,Beloit College,Lacrosse
2022,Women,87238,25384,481,Beloit College,Soccer
2022,Women,142060,54811,481,Beloit College,Softball
2022,Women,19263,8592,481,Beloit College,Swimming & Diving
2022,Women,604618,182477,481,Beloit College,Total
2022,Women,89431,31003,481,Beloit College,Volleyball
2003,Men,58701,41665,453,Cornell College,Baseball
2003,Men,70259,26777,453,Cornell College,Basketball
2003,Men,200198,42334,453,Cornell College,Football
2003,Men,9794,5947,453,Cornell College,Golf
2003,Men,17576,10143,453,Cornell College,Soccer
2003,Men,8845,3247,453,Cornell College,Tennis
2003,Men,500247,188266,453,Cornell College,Total
2003,Men,67597,32015,453,Cornell College,Cross Country
2003,Men,67277,26138,453,Cornell College,Wrestling
2003,Men,67597,32015,453,Cornell College,All Track Combined
2003,Women,54944,14300,652,Cornell College,Basketball
2003,Women,9948,5721,652,Cornell College,Golf
2003,Women,18778,13601,652,Cornell College,Soccer
2003,Women,39657,11944,652,Cornell College,Softball
2003,Women,20007,13027,652,Cornell College,Tennis
2003,Women,254112,107552,652,Cornell College,Total
2003,Women,66751,30972,652,Cornell College,Cross Country
2003,Women,44027,17987,652,Cornell College,Volleyball
2003,Women,66751,30972,652,Cornell College,All Track Combined
2004,Men,51004,14827,489,Cornell College,All Track Combined
2004,Men,40506,26189,489,Cornell College,Baseball
2004,Men,99375,15105,489,Cornell College,Basketball
2004,Men,186912,33146,489,Cornell College,Football
2004,Men,12854,8706,489,Cornell College,Golf
2004,Men,18442,13759,489,Cornell College,Soccer
2004,Men,9252,4918,489,Cornell College,Tennis
2004,Men,487000,133966,489,Cornell College,Total
2004,Men,68655,17316,489,Cornell College,Wrestling
2004,Women,52304,15758,656,Cornell College,All Track Combined
2004,Women,64261,13134,656,Cornell College,Basketball
2004,Women,7920,4065,656,Cornell College,Golf
2004,Women,18654,14039,656,Cornell College,Soccer
2004,Women,40832,13163,656,Cornell College,Softball
2004,Women,15410,8138,656,Cornell College,Tennis
2004,Women,253465,94455,656,Cornell College,Total
2004,Women,54084,26158,656,Cornell College,Volleyball
2005,Men,59879,19824,525,Cornell College,All Track Combined
2005,Men,71708,32773,525,Cornell College,Baseball
2005,Men,108588,29865,525,Cornell College,Basketball
2005,Men,227203,58268,525,Cornell College,Football
2005,Men,11144,6646,525,Cornell College,Golf
2005,Men,18586,11082,525,Cornell College,Soccer
2005,Men,6916,2193,525,Cornell College,Tennis
2005,Men,611983,202254,525,Cornell College,Total
2005,Men,107959,41603,525,Cornell College,Wrestling
2005,Women,59510,19251,641,Cornell College,All Track Combined
2005,Women,97759,22371,641,Cornell College,Basketball
2005,Women,13402,9120,641,Cornell College,Golf
2005,Women,17571,11467,641,Cornell College,Soccer
2005,Women,28020,13571,641,Cornell College,Softball
2005,Women,20952,13565,641,Cornell College,Tennis
2005,Women,302121,113673,641,Cornell College,Total
2005,Women,64907,24328,641,Cornell College,Volleyball
2006,Men,66496,13465,520,Cornell College,All Track Combined
2006,Men,72367,22010,520,Cornell College,Baseball
2006,Men,92981,15380,520,Cornell College,Basketball
2006,Men,227665,24699,520,Cornell College,Football
2006,Men,10284,5958,520,Cornell College,Golf
2006,Men,13279,6876,520,Cornell College,Soccer
2006,Men,5272,1493,520,Cornell College,Tennis
2006,Men,606838,119699,520,Cornell College,Total
2006,Men,118494,29818,520,Cornell College,Wrestling
2006,Women,66124,12405,598,Cornell College,All Track Combined
2006,Women,138246,49876,598,Cornell College,Basketball
2006,Women,8156,4222,598,Cornell College,Golf
2006,Women,16330,11267,598,Cornell College,Soccer
2006,Women,61997,10928,598,Cornell College,Softball
2006,Women,19259,11085,598,Cornell College,Tennis
2006,Women,378041,115736,598,Cornell College,Total
2006,Women,67929,15953,598,Cornell College,Volleyball
2007,Men,91959,44322,519,Cornell College,Baseball
2007,Men,147264,32703,519,Cornell College,Basketball
2007,Men,284079,77108,519,Cornell College,Football
2007,Men,8438,5112,519,Cornell College,Golf
2007,Men,12654,7412,519,Cornell College,Soccer
2007,Men,28074,8605,519,Cornell College,Tennis
2007,Men,761583,240040,519,Cornell College,Total
2007,Men,21108,7672,519,Cornell College,Track & Field (Indoor)
2007,Men,21108,7672,519,Cornell College,Track & Field (Outdoor)
2007,Men,23378,4099,519,Cornell College,Cross Country
2007,Men,123521,45335,519,Cornell College,Wrestling
2007,Men,65594,19443,519,Cornell College,All Track Combined
2007,Women,138087,21897,540,Cornell College,Basketball
2007,Women,8129,4365,540,Cornell College,Golf
2007,Women,17787,9032,540,Cornell College,Soccer
2007,Women,70543,20791,540,Cornell College,Softball
2007,Women,32588,4637,540,Cornell College,Tennis
2007,Women,398813,97592,540,Cornell College,Total
2007,Women,20861,7247,540,Cornell College,Track & Field (Indoor)
2007,Women,20861,7247,540,Cornell College,Track & Field (Outdoor)
2007,Women,23378,4099,540,Cornell College,Cross Country
2007,Women,66579,18277,540,Cornell College,Volleyball
2007,Women,65100,18593,540,Cornell College,All Track Combined
2008,Men,83142,23916,548,Cornell College,Baseball
2008,Men,131731,25292,548,Cornell College,Basketball
2008,Men,280676,63277,548,Cornell College,Football
2008,Men,12096,7411,548,Cornell College,Golf
2008,Men,33888,11192,548,Cornell College,Soccer
2008,Men,35825,8537,548,Cornell College,Tennis
